ID,Latitude,Longitude,Elevation
1,12.0,75.0,595.0
2,12.0,75.1,595.0
3,12.0,75.2,595.0
4,12.0,75.3,595.0
5,12.0,75.4,595.0
6,12.0,75.5,595.0
7,12.0,75.6,595.0
8,12.0,75.7,595.0
9,12.0,75.8,595.0
10,12.0,75.9,595.0
11,12.0,76.0,595.0
12,12.0,76.1,595.0
13,12.0,76.2,595.0
14,12.0,76.3,595.0
15,12.0,76.4,595.0
16,12.0,76.5,595.0
17,12.0,76.6,595.0
18,12.0,76.7,595.0
19,12.0,76.8,595.0
20,12.0,76.9,595.0
21,12.0,77.0,595.0
22,12.0,77.1,595.0
23,12.0,77.2,595.0
24,12.0,77.3,595.0
25,12.0,77.4,595.0
26,12.0,77.5,595.0
27,12.0,77.6,595.0
28,12.0,77.7,595.0
29,12.0,77.8,595.0
30,12.0,77.9,595.0
31,12.0,78.0,595.0
32,12.0,78.1,595.0
33,12.0,78.2,595.0
34,12.0,78.3,595.0
35,12.0,78.4,595.0
36,12.1,75.0,0.0
37,12.1,75.1,0.0
38,12.1,75.2,11.0
39,12.1,75.3,41.0
40,12.1,75.4,138.0
41,12.1,75.5,101.0
42,12.1,75.6,181.0
43,12.1,75.7,556.0
44,12.1,75.8,443.0
45,12.1,75.9,809.0
46,12.1,76.0,853.0
47,12.1,76.1,871.0
48,12.1,76.2,813.0
49,12.1,76.3,725.0
50,12.1,76.4,672.0
51,12.1,76.5,680.0
52,12.1,76.6,687.0
53,12.1,76.7,659.0
54,12.1,76.8,675.0
55,12.1,76.9,688.0
56,12.1,77.0,658.0
57,12.1,77.1,741.0
58,12.1,77.2,674.0
59,12.1,77.3,646.0
60,12.1,77.4,604.0
61,12.1,77.5,593.0
62,12.1,77.6,872.0
63,12.1,77.7,431.0
64,12.1,77.8,508.0
65,12.1,77.9,494.0
66,12.1,78.0,477.0
67,12.1,78.1,448.0
68,12.1,78.2,500.0
69,12.1,78.3,455.0
70,12.1,78.4,425.0
71,12.2,75.0,0.0
72,12.2,75.1,0.0
73,12.2,75.2,24.0
74,12.2,75.3,50.0
75,12.2,75.4,79.0
76,12.2,75.5,212.0
77,12.2,75.6,959.0
78,12.2,75.7,1104.0
79,12.2,75.8,887.0
80,12.2,75.9,858.0
81,12.2,76.0,827.0
82,12.2,76.1,859.0
83,12.2,76.2,809.0
84,12.2,76.3,757.0
85,12.2,76.4,709.0
86,12.2,76.5,733.0
87,12.2,76.6,744.0
88,12.2,76.7,670.0
89,12.2,76.8,671.0
90,12.2,76.9,655.0
91,12.2,77.0,642.0
92,12.2,77.1,637.0
93,12.2,77.2,827.0
94,12.2,77.3,636.0
95,12.2,77.4,599.0
96,12.2,77.5,391.0
97,12.2,77.6,282.0
98,12.2,77.7,430.0
99,12.2,77.8,395.0
100,12.2,77.9,416.0
101,12.2,78.0,735.0
102,12.2,78.1,475.0
103,12.2,78.2,438.0
104,12.2,78.3,420.0
105,12.2,78.4,392.0
106,12.3,75.0,0.0
107,12.3,75.1,11.0
108,12.3,75.2,69.0
109,12.3,75.3,60.0
110,12.3,75.4,57.0
111,12.3,75.5,400.0
112,12.3,75.6,1115.0
113,12.3,75.7,891.0
114,12.3,75.8,859.0
115,12.3,75.9,959.0
116,12.3,76.0,951.0
117,12.3,76.1,866.0
118,12.3,76.2,819.0
119,12.3,76.3,801.0
120,12.3,76.4,805.0
121,12.3,76.5,821.0
122,12.3,76.6,756.0
123,12.3,76.7,774.0
124,12.3,76.8,692.0
125,12.3,76.9,748.0
126,12.3,77.0,668.0
127,12.3,77.1,627.0
128,12.3,77.2,502.0
129,12.3,77.3,388.0
130,12.3,77.4,528.0
131,12.3,77.5,492.0
132,12.3,77.6,599.0
133,12.3,77.7,457.0
134,12.3,77.8,847.0
135,12.3,77.9,987.0
136,12.3,78.0,525.0
137,12.3,78.1,485.0
138,12.3,78.2,456.0
139,12.3,78.3,417.0
140,12.3,78.4,435.0
141,12.4,75.0,0.0
142,12.4,75.1,85.0
143,12.4,75.2,124.0
144,12.4,75.3,482.0
145,12.4,75.4,793.0
146,12.4,75.5,1080.0
147,12.4,75.6,1260.0
148,12.4,75.7,917.0
149,12.4,75.8,1030.0
150,12.4,75.9,865.0
151,12.4,76.0,882.0
152,12.4,76.1,883.0
153,12.4,76.2,867.0
154,12.4,76.3,822.0
155,12.4,76.4,776.0
156,12.4,76.5,780.0
157,12.4,76.6,722.0
158,12.4,76.7,675.0
159,12.4,76.8,675.0
160,12.4,76.9,706.0
161,12.4,77.0,649.0
162,12.4,77.1,614.0
163,12.4,77.2,589.0
164,12.4,77.3,717.0
165,12.4,77.4,612.0
166,12.4,77.5,678.0
167,12.4,77.6,719.0
168,12.4,77.7,637.0
169,12.4,77.8,835.0
170,12.4,77.9,1108.0
171,12.4,78.0,584.0
172,12.4,78.1,648.0
173,12.4,78.2,481.0
174,12.4,78.3,463.0
175,12.4,78.4,408.0
176,12.5,75.0,-2.0
177,12.5,75.1,93.0
178,12.5,75.2,210.0
179,12.5,75.3,169.0
180,12.5,75.4,236.0
181,12.5,75.5,188.0
182,12.5,75.6,580.0
183,12.5,75.7,1044.0
184,12.5,75.8,1012.0
185,12.5,75.9,907.0
186,12.5,76.0,865.0
187,12.5,76.1,896.0
188,12.5,76.2,832.0
189,12.5,76.3,780.0
190,12.5,76.4,761.0
191,12.5,76.5,782.0
192,12.5,76.6,768.0
193,12.5,76.7,728.0
194,12.5,76.8,731.0
195,12.5,76.9,669.0
196,12.5,77.0,655.0
197,12.5,77.1,619.0
198,12.5,77.2,628.0
199,12.5,77.3,740.0
200,12.5,77.4,644.0
201,12.5,77.5,749.0
202,12.5,77.6,854.0
203,12.5,77.7,924.0
204,12.5,77.8,868.0
205,12.5,77.9,698.0
206,12.5,78.0,689.0
207,12.5,78.1,555.0
208,12.5,78.2,529.0
209,12.5,78.3,484.0
210,12.5,78.4,459.0
211,12.6,75.0,61.0
212,12.6,75.1,76.0
213,12.6,75.2,109.0
214,12.6,75.3,117.0
215,12.6,75.4,204.0
216,12.6,75.5,203.0
217,12.6,75.6,159.0
218,12.6,75.7,1235.0
219,12.6,75.8,1139.0
220,12.6,75.9,1032.0
221,12.6,76.0,861.0
222,12.6,76.1,804.0
223,12.6,76.2,833.0
224,12.6,76.3,813.0
225,12.6,76.4,762.0
226,12.6,76.5,789.0
227,12.6,76.6,863.0
228,12.6,76.7,788.0
229,12.6,76.8,721.0
230,12.6,76.9,706.0
231,12.6,77.0,645.0
232,12.6,77.1,643.0
233,12.6,77.2,644.0
234,12.6,77.3,773.0
235,12.6,77.4,643.0
236,12.6,77.5,676.0
237,12.6,77.6,963.0
238,12.6,77.7,888.0
239,12.6,77.8,897.0
240,12.6,77.9,834.0
241,12.6,78.0,717.0
242,12.6,78.1,647.0
243,12.6,78.2,592.0
244,12.6,78.3,532.0
245,12.6,78.4,574.0
246,12.7,75.0,131.0
247,12.7,75.1,120.0
248,12.7,75.2,135.0
249,12.7,75.3,101.0
250,12.7,75.4,95.0
251,12.7,75.5,125.0
252,12.7,75.6,145.0
253,12.7,75.7,577.0
254,12.7,75.8,1005.0
255,12.7,75.9,1031.0
256,12.7,76.0,946.0
257,12.7,76.1,905.0
258,12.7,76.2,892.0
259,12.7,76.3,853.0
260,12.7,76.4,786.0
261,12.7,76.5,823.0
262,12.7,76.6,874.0
263,12.7,76.7,842.0
264,12.7,76.8,756.0
265,12.7,76.9,700.0
266,12.7,77.0,657.0
267,12.7,77.1,674.0
268,12.7,77.2,820.0
269,12.7,77.3,674.0
270,12.7,77.4,676.0
271,12.7,77.5,740.0
272,12.7,77.6,785.0
273,12.7,77.7,926.0
274,12.7,77.8,891.0
275,12.7,77.9,814.0
276,12.7,78.0,730.0
277,12.7,78.1,714.0
278,12.7,78.2,584.0
279,12.7,78.3,736.0
280,12.7,78.4,639.0
281,12.8,75.0,83.0
282,12.8,75.1,163.0
283,12.8,75.2,105.0
284,12.8,75.3,89.0
285,12.8,75.4,116.0
286,12.8,75.5,232.0
287,12.8,75.6,474.0
288,12.8,75.7,909.0
289,12.8,75.8,949.0
290,12.8,75.9,924.0
291,12.8,76.0,882.0
292,12.8,76.1,880.0
293,12.8,76.2,850.0
294,12.8,76.3,834.0
295,12.8,76.4,848.0
296,12.8,76.5,859.0
297,12.8,76.6,952.0
298,12.8,76.7,880.0
299,12.8,76.8,777.0
300,12.8,76.9,694.0
301,12.8,77.0,659.0
302,12.8,77.1,725.0
303,12.8,77.2,765.0
304,12.8,77.3,762.0
305,12.8,77.4,728.0
306,12.8,77.5,754.0
307,12.8,77.6,907.0
308,12.8,77.7,880.0
309,12.8,77.8,865.0
310,12.8,77.9,841.0
311,12.8,78.0,853.0
312,12.8,78.1,655.0
313,12.8,78.2,693.0
314,12.8,78.3,749.0
315,12.8,78.4,665.0
316,12.9,75.0,37.0
317,12.9,75.1,151.0
318,12.9,75.2,77.0
319,12.9,75.3,83.0
320,12.9,75.4,108.0
321,12.9,75.5,176.0
322,12.9,75.6,468.0
323,12.9,75.7,994.0
324,12.9,75.8,921.0
325,12.9,75.9,1063.0
326,12.9,76.0,888.0
327,12.9,76.1,956.0
328,12.9,76.2,894.0
329,12.9,76.3,910.0
330,12.9,76.4,835.0
