Latitude,Longitude,rainfall,temperature
12,75,9.299534247,27.38336986
12,75.1,9.299534247,27.38336986
12,75.2,9.299534247,27.38336986
12,75.3,9.299534247,27.38336986
12,75.4,7.720027397,24.70813699
12,75.5,7.720027397,24.70813699
12,75.6,7.720027397,24.70813699
12,75.7,7.720027397,24.70813699
12,75.8,7.720027397,24.70813699
12,75.9,7.720027397,24.70813699
12,76,5.108547945,22.94991781
12,76.1,5.108547945,22.94991781
12,76.2,5.108547945,22.94991781
12,76.3,5.108547945,22.94991781
12,76.4,5.108547945,22.94991781
12,76.5,5.108547945,22.94991781
12,76.6,3.851123288,23.27717808
12,76.7,3.851123288,23.27717808
12,76.8,3.851123288,23.27717808
12,76.9,3.851123288,23.27717808
12,77,3.851123288,23.27717808
12,77.1,3.851123288,23.27717808
12,77.2,3.331287671,24.1729863
12,77.3,3.331287671,24.1729863
12,77.4,3.331287671,24.1729863
12,77.5,3.331287671,24.1729863
12,77.6,3.331287671,24.1729863
12,77.7,3.331287671,24.1729863
12,77.8,3.331287671,24.1729863
12,77.9,3.544876712,25.21605479
12,78,3.544876712,25.21605479
12,78.1,3.544876712,25.21605479
12,78.2,3.544876712,25.21605479
12,78.3,3.544876712,25.21605479
12,78.4,3.544876712,25.21605479
12.1,75,9.299534247,27.38336986
12.1,75.1,9.299534247,27.38336986
12.1,75.2,9.299534247,27.38336986
12.1,75.3,9.299534247,27.38336986
12.1,75.4,7.720027397,24.70813699
12.1,75.5,7.720027397,24.70813699
12.1,75.6,7.720027397,24.70813699
12.1,75.7,7.720027397,24.70813699
12.1,75.8,7.720027397,24.70813699
12.1,75.9,7.720027397,24.70813699
12.1,76,5.108547945,22.94991781
12.1,76.1,5.108547945,22.94991781
12.1,76.2,5.108547945,22.94991781
12.1,76.3,5.108547945,22.94991781
12.1,76.4,5.108547945,22.94991781
12.1,76.5,5.108547945,22.94991781
12.1,76.6,3.851123288,23.27717808
12.1,76.7,3.851123288,23.27717808
12.1,76.8,3.851123288,23.27717808
12.1,76.9,3.851123288,23.27717808
12.1,77,3.851123288,23.27717808
12.1,77.1,3.851123288,23.27717808
12.1,77.2,3.331287671,24.1729863
12.1,77.3,3.331287671,24.1729863
12.1,77.4,3.331287671,24.1729863
12.1,77.5,3.331287671,24.1729863
12.1,77.6,3.331287671,24.1729863
12.1,77.7,3.331287671,24.1729863
12.1,77.8,3.331287671,24.1729863
12.1,77.9,3.544876712,25.21605479
12.1,78,3.544876712,25.21605479
12.1,78.1,3.544876712,25.21605479
12.1,78.2,3.544876712,25.21605479
12.1,78.3,3.544876712,25.21605479
12.1,78.4,3.544876712,25.21605479
12.2,75,9.299534247,27.38336986
12.2,75.1,9.299534247,27.38336986
12.2,75.2,9.299534247,27.38336986
12.2,75.3,9.299534247,27.38336986
12.2,75.4,7.720027397,24.70813699
12.2,75.5,7.720027397,24.70813699
12.2,75.6,7.720027397,24.70813699
12.2,75.7,7.720027397,24.70813699
12.2,75.8,7.720027397,24.70813699
12.2,75.9,7.720027397,24.70813699
12.2,76,5.108547945,22.94991781
12.2,76.1,5.108547945,22.94991781
12.2,76.2,5.108547945,22.94991781
12.2,76.3,5.108547945,22.94991781
12.2,76.4,5.108547945,22.94991781
12.2,76.5,5.108547945,22.94991781
12.2,76.6,3.851123288,23.27717808
12.2,76.7,3.851123288,23.27717808
12.2,76.8,3.851123288,23.27717808
12.2,76.9,3.851123288,23.27717808
12.2,77,3.851123288,23.27717808
12.2,77.1,3.851123288,23.27717808
12.2,77.2,3.331287671,24.1729863
12.2,77.3,3.331287671,24.1729863
12.2,77.4,3.331287671,24.1729863
12.2,77.5,3.331287671,24.1729863
12.2,77.6,3.331287671,24.1729863
12.2,77.7,3.331287671,24.1729863
12.2,77.8,3.331287671,24.1729863
12.2,77.9,3.544876712,25.21605479
12.2,78,3.544876712,25.21605479
12.2,78.1,3.544876712,25.21605479
12.2,78.2,3.544876712,25.21605479
12.2,78.3,3.544876712,25.21605479
12.2,78.4,3.544876712,25.21605479
12.3,75,10.67827397,26.88180822
12.3,75.1,10.67827397,26.88180822
12.3,75.2,10.67827397,26.88180822
12.3,75.3,10.67827397,26.88180822
12.3,75.4,7.83690411,23.51619178
12.3,75.5,7.83690411,23.51619178
12.3,75.6,7.83690411,23.51619178
12.3,75.7,7.83690411,23.51619178
12.3,75.8,7.83690411,23.51619178
12.3,75.9,7.83690411,23.51619178
12.3,76,4.984246575,22.84419178
12.3,76.1,4.984246575,22.84419178
12.3,76.2,4.984246575,22.84419178
12.3,76.3,4.984246575,22.84419178
12.3,76.4,4.984246575,22.84419178
12.3,76.5,4.984246575,22.84419178
12.3,76.6,4.696109589,23.84473973
12.3,76.7,4.696109589,23.84473973
