Latitude,Longitude,clay,sand,silt
12,75.3,308,394,299
12,75.5,320,421,259
12,75.6,297,443,260
12,75.8,312,445,243
12,75.9,313,420,267
12,76.1,291,427,282
12,76.2,320,398,282
12,76.3,311,434,255
12,76.4,319,421,260
12,76.5,341,396,263
12,76.6,315,407,279
12,76.7,334,404,262
12,76.9,277,444,279
12,77,308,373,319
12,77.1,301,429,270
12,77.3,289,424,287
12,77.4,271,426,303
12,77.5,304,392,304
12,77.8,336,394,271
12,77.9,323,395,281
12,78,305,395,300
12,78.1,321,393,286
12.1,75.7,357,462,181
12.1,75.9,283,428,289
12.1,76,272,420,308
12.1,76.1,308,400,292
12.1,76.2,299,434,267
12.1,76.4,308,397,295
12.1,77,337,359,304
12.1,77.2,256,429,315
12.1,77.4,313,391,296
12.1,77.5,316,381,303
12.1,78.3,285,406,309
12.2,75.5,334,465,202
12.2,75.6,330,410,260
12.2,75.7,314,413,273
12.2,75.8,310,447,243
12.2,75.9,305,439,257
12.2,76,318,407,274
12.2,76.1,274,449,277
12.2,76.2,317,396,287
12.2,76.3,312,384,304
12.2,76.5,318,406,276
12.2,76.7,337,360,304
12.2,76.8,329,374,298
12.2,76.9,328,347,326
12.2,77,323,355,323
12.2,77.1,322,388,290
12.2,77.3,276,405,318
12.2,77.4,311,410,278
12.2,77.7,319,401,279
12.2,77.8,313,389,299
12.3,75.2,308,481,211
12.3,75.5,343,454,203
12.3,75.9,305,384,311
12.3,76,302,404,293
12.3,76.1,309,403,288
12.3,76.3,316,400,284
12.3,76.5,342,365,293
12.3,76.6,320,384,296
12.3,76.7,0,0,0
12.3,76.8,303,402,295
12.3,76.9,331,422,247
12.3,77,368,337,295
12.3,77.1,352,343,305
12.3,77.2,279,433,288
12.3,77.3,340,400,260
12.3,77.4,300,403,297
12.3,77.5,312,412,276
12.3,77.6,309,417,274
12.3,77.7,317,386,297
12.3,77.8,318,435,248
12.3,77.9,322,405,273
12.3,78,324,397,278
12.3,78.1,331,394,276
12.3,78.2,289,414,297
12.3,78.3,329,355,315
12.3,78.4,298,392,310
12.4,75,0,0,0
12.4,75.1,335,463,202
12.4,75.2,311,503,187
12.4,75.3,319,456,224
12.4,75.4,317,431,252
12.4,75.5,320,406,274
12.4,75.6,301,378,321
12.4,75.7,335,406,259
12.4,75.8,295,422,283
12.4,75.9,305,412,283
12.4,76,298,394,307
12.4,76.1,300,430,270
12.4,76.2,307,449,243
12.4,76.3,329,428,242
12.4,76.4,319,417,264
12.4,76.5,328,419,253
12.4,76.6,316,407,277
12.4,76.7,346,351,303
12.4,76.8,373,340,287
12.4,76.9,351,355,294
12.4,77,373,345,282
12.4,77.1,350,360,290
12.4,77.2,331,376,294
12.4,77.3,305,453,242
12.4,77.4,329,431,240
12.4,77.5,311,435,255
12.4,77.6,338,405,257
12.4,77.7,318,423,259
12.4,77.8,324,440,236
12.4,77.9,360,372,268
12.4,78,317,413,271
12.4,78.1,339,424,236
12.4,78.2,301,406,293
12.4,78.3,289,432,279
12.4,78.4,294,395,311
12.5,75,342,428,229
12.5,75.1,315,471,214
12.5,75.2,298,490,211
12.5,75.3,324,490,185
12.5,75.4,255,536,210
12.5,75.5,257,589,154
12.5,75.6,367,447,186
12.5,75.7,321,396,283
12.5,75.8,335,410,254
12.5,75.9,303,402,295
12.5,76,326,432,242
12.5,76.1,326,411,263
12.5,76.2,310,421,269
12.5,76.3,312,435,253
12.5,76.4,361,374,266
12.5,76.5,319,415,267
12.5,76.6,313,410,277
12.5,76.7,354,392,254
12.5,76.8,330,384,286
12.5,76.9,363,345,292
12.5,77,357,356,287
12.5,77.1,387,349,264
12.5,77.2,350,378,272
12.5,77.3,316,452,232
12.5,77.4,342,434,225
12.5,77.5,307,428,265
12.5,77.6,336,411,253
12.5,77.7,312,426,262
12.5,77.8,347,390,262
12.5,77.9,343,434,223
12.5,78,325,424,251
12.5,78.1,297,433,270
12.5,78.2,288,425,287
12.5,78.3,308,403,289
12.5,78.4,308,411,282
