Latitude,Longitude,rainfall,temperature,clay,sand,silt,river_distance,Elevation,Slope,Flood_Index,Flood_Score
12.0,75.0,9.299534247,27.38336986,310,423,260,172219.6054,595,89.98937988,0.5960749041454811,3
12.0,75.1,9.299534247,27.38336986,310,423,260,49803.90872,595,89.98937988,0.6344768988026876,3
12.0,75.2,9.299534247,27.38336986,310,423,260,76298.61951,595,89.98937988,0.6261654667739873,3
12.0,75.3,9.299534247,27.38336986,308,394,299,196762.6162,595,89.98937988,0.5928920684775316,3
12.0,75.4,7.720027397,24.70813699,310,423,260,183104.4077,595,89.98937988,0.5314923919422961,3
12.0,75.5,7.720027397,24.70813699,320,421,259,95017.95896,595,89.98937988,0.5607826592798849,3
12.0,75.6,7.720027397,24.70813699,297,443,260,35900.10114,595,89.98937988,0.5744033362453574,3
12.0,75.7,7.720027397,24.70813699,310,423,260,39882.75316,595,89.98937988,0.5764212479763272,3
12.0,75.8,7.720027397,24.70813699,312,445,243,61451.07652,595,89.98937988,0.5673278799447252,3
12.0,75.9,7.720027397,24.70813699,313,420,267,60410.05981,595,89.98937988,0.5712098442616929,3
12.0,76.0,5.108547945,22.94991781,310,423,260,15287.21856,595,89.98937988,0.4830048340593657,3
12.0,76.1,5.108547945,22.94991781,291,427,282,38401.86323,595,89.98937988,0.4742228050385959,3
12.0,76.2,5.108547945,22.94991781,320,398,282,33045.28739,595,89.98937988,0.48228778005641715,3
12.0,76.3,5.108547945,22.94991781,311,434,255,66264.32069,595,89.98937988,0.4661333458253289,3
12.0,76.4,5.108547945,22.94991781,319,421,260,82531.07187,595,89.98937988,0.4634865530609424,3
12.0,76.5,5.108547945,22.94991781,341,396,263,81745.5162,595,89.98937988,0.4689933840599413,3
12.0,76.6,3.851123288,23.27717808,315,407,279,123041.3121,595,89.98937988,0.4037853127640464,2
12.0,76.7,3.851123288,23.27717808,334,404,262,62386.60475,595,89.98937988,0.42469123618498417,3
12.0,76.8,3.851123288,23.27717808,310,423,260,121923.3247,595,89.98937988,0.40085793366343875,2
12.0,76.9,3.851123288,23.27717808,277,444,279,178823.6943,595,89.98937988,0.37797814056665285,2
12.0,77.0,3.851123288,23.27717808,308,373,319,136977.9507,595,89.98937988,0.4034888702252946,2
12.0,77.1,3.851123288,23.27717808,301,429,270,128260.464,595,89.98937988,0.3978730050403688,2
12.0,77.2,3.331287671,24.1729863,310,423,260,57110.50288,595,89.98937988,0.40105867897292247,2
12.0,77.3,3.331287671,24.1729863,289,424,287,118777.1188,595,89.98937988,0.3804373596984671,2
12.0,77.4,3.331287671,24.1729863,271,426,303,136032.1717,595,89.98937988,0.37328505329870626,2
12.0,77.5,3.331287671,24.1729863,304,392,304,163919.3399,595,89.98937988,0.371941017951402,2
12.0,77.6,3.331287671,24.1729863,310,423,260,173107.6872,595,89.98937988,0.36467018163706244,2
12.0,77.7,3.331287671,24.1729863,310,423,260,167521.4949,595,89.98937988,0.3664225788596138,2
12.0,77.8,3.331287671,24.1729863,336,394,271,172506.7881,595,89.98937988,0.37164836993273787,2
12.0,77.9,3.544876712,25.21605479,323,395,281,199490.1014,595,89.98937988,0.3700984952661606,2
12.0,78.0,3.544876712,25.21605479,305,395,300,180030.2591,595,89.98937988,0.3748227261414411,2
12.0,78.1,3.544876712,25.21605479,321,393,286,141505.1904,595,89.98937988,0.38848508816798555,2
12.0,78.2,3.544876712,25.21605479,310,423,260,220634.2825,595,89.98937988,0.3580324571978096,2
12.0,78.3,3.544876712,25.21605479,310,423,260,213682.07,595,89.98937988,0.3602133770840776,2
12.0,78.4,3.544876712,25.21605479,310,423,260,211719.8454,595,89.98937988,0.3608289299964007,2
12.1,75.0,9.299534247,27.38336986,310,423,260,167069.6717,0,0.0,0.8183949426800865,3
12.1,75.1,9.299534247,27.38336986,310,423,260,55837.0172,0,0.0,0.8532887995927494,3
12.1,75.2,9.299534247,27.38336986,310,423,260,25054.93925,11,89.98575592,0.7116603581995327,3
12.1,75.3,9.299534247,27.38336986,310,423,260,25268.40013,41,89.99648285,0.7080097482178318,3
12.1,75.4,7.720027397,24.70813699,310,423,260,101720.9337,138,89.97748566,0.6113608802998325,3
12.1,75.5,7.720027397,24.70813699,310,423,260,119657.0907,101,89.99562073,0.6101018358786245,3
12.1,75.6,7.720027397,24.70813699,310,423,260,88132.42135,181,89.99919128,0.610476506455192,3
12.1,75.7,7.720027397,24.70813699,357,462,181,53045.87092,556,89.99867249,0.5758757406059256,3
12.1,75.8,7.720027397,24.70813699,310,423,260,16977.75498,443,89.99838257,0.6016581379888666,3
12.1,75.9,7.720027397,24.70813699,283,428,289,27745.48242,809,89.98575592,0.5524795295278867,3
12.1,76.0,5.108547945,22.94991781,272,420,308,33570.6727,853,89.99362946,0.4444958178502302,3
12.1,76.1,5.108547945,22.94991781,308,400,292,36799.12345,871,89.9899292,0.44705198389120154,3
12.1,76.2,5.108547945,22.94991781,299,434,267,59731.84448,813,89.99544525,0.4412869440871611,3
12.1,76.3,5.108547945,22.94991781,310,423,260,77464.53483,725,89.9899292,0.44804713356608117,3
12.1,76.4,5.108547945,22.94991781,308,397,295,153847.5258,672,89.96816254,0.4344398323176072,3
12.1,76.5,5.108547945,22.94991781,310,423,260,159221.5993,680,89.98575592,0.427755423591525,3
12.1,76.6,3.851123288,23.27717808,310,423,260,39047.68227,687,89.99362946,0.4159140452781889,3
12.1,76.7,3.851123288,23.27717808,310,423,260,89939.35131,659,0.0,0.5532678015178762,3
12.1,76.8,3.851123288,23.27717808,310,423,260,123283.2671,675,89.97748566,0.390942425139633,2
12.1,76.9,3.851123288,23.27717808,310,423,260,145994.3575,688,89.98873901,0.3822539985928184,2
12.1,77.0,3.851123288,23.27717808,337,359,304,99902.41832,658,89.9899292,0.4119305786353477,2
12.1,77.1,3.851123288,23.27717808,310,423,260,156044.5706,741,89.99855804,0.37278534135828867,2
12.1,77.2,3.331287671,24.1729863,256,429,315,121601.9179,674,89.99227142,0.3667824042795282,2
12.1,77.3,3.331287671,24.1729863,310,423,260,144565.2145,646,89.99227142,0.36755737384003373,2
12.1,77.4,3.331287671,24.1729863,313,391,296,165490.6021,604,89.99407959,0.3712402317768393,2
12.1,77.5,3.331287671,24.1729863,316,381,303,161769.7664,593,89.96816254,0.37539136181406324,2
12.1,77.6,3.331287671,24.1729863,310,423,260,160186.1659,872,89.99920654,0.3357833748302101,1
12.1,77.7,3.331287671,24.1729863,310,423,260,82293.39756,431,89.99849701,0.4126364388332421,3
12.1,77.8,3.331287671,24.1729863,310,423,260,209132.1623,508,89.99736023,0.36369667602492195,2
12.1,77.9,3.544876712,25.21605479,310,423,260,135612.2815,494,89.97748566,0.3967285695019852,2
12.1,78.0,3.544876712,25.21605479,310,423,260,236112.3547,477,89.99227142,0.3671974991559467,2
12.1,78.1,3.544876712,25.21605479,310,423,260,223098.1014,448,89.97748566,0.3747516434645043,2
12.1,78.2,3.544876712,25.21605479,310,423,260,222218.015,500,89.99227142,0.36882241921122155,2
12.1,78.3,3.544876712,25.21605479,285,406,309,219843.5828,455,89.9899292,0.3758200978335678,2
12.1,78.4,3.544876712,25.21605479,310,423,260,50976.51025,425,89.99288177,0.43145455018024353,3
12.2,75.0,9.299534247,27.38336986,310,423,260,109989.7796,0,0.0,0.8363009937087225,3
12.2,75.1,9.299534247,27.38336986,310,423,260,28183.88033,0,0.0,0.8619636316864856,3
12.2,75.2,9.299534247,27.38336986,310,423,260,28221.07173,24,89.99562073,0.7091055296355084,3
12.2,75.3,9.299534247,27.38336986,310,423,260,48418.92448,50,89.99654388,0.6996775603786649,3
12.2,75.4,7.720027397,24.70813699,310,423,260,60624.70685,79,89.99795532,0.6312313925859308,3
12.2,75.5,7.720027397,24.70813699,334,465,202,25373.96125,212,89.99888611,0.6232403757314944,3
12.2,75.6,7.720027397,24.70813699,330,410,260,6628.036657,959,89.99900055,0.5475705791493032,3
12.2,75.7,7.720027397,24.70813699,314,413,273,35724.05322,1104,89.99468994,0.519499793326167,3
12.2,75.8,7.720027397,24.70813699,310,447,243,53829.91705,887,89.99362946,0.5345644344200932,3
12.2,75.9,7.720027397,24.70813699,305,439,257,40094.52317,858,89.99227142,0.5431092950208654,3
12.2,76.0,5.108547945,22.94991781,318,407,274,63657.56971,827,89.97748566,0.44363502959753237,3
12.2,76.1,5.108547945,22.94991781,274,449,277,70045.65464,859,89.99227142,0.42847497252819966,3
12.2,76.2,5.108547945,22.94991781,317,396,287,53482.50145,809,89.9899292,0.45047422670864345,3
12.2,76.3,5.108547945,22.94991781,312,384,304,81355.2134,757,89.9899292,0.4491728439739607,3
12.2,76.4,5.108547945,22.94991781,310,423,260,61772.67951,709,89.99116516,0.45486937632909796,3
12.2,76.5,5.108547945,22.94991781,318,406,276,118418.6477,733,89.99227142,0.4378245420107209,3
12.2,76.6,3.851123288,23.27717808,310,423,260,111066.0149,744,89.99227142,0.38654908523176695,2
12.2,76.7,3.851123288,23.27717808,337,360,304,75752.07894,670,89.99116516,0.4180203231850916,3
12.2,76.8,3.851123288,23.27717808,329,374,298,109131.7094,671,89.98575592,0.40484415703858845,2
12.2,76.9,3.851123288,23.27717808,328,347,326,96662.14802,655,89.98575592,0.4143285718321421,3
12.2,77.0,3.851123288,23.27717808,323,355,323,117096.2967,642,89.9899292,0.40793885922745593,2
12.2,77.1,3.851123288,23.27717808,322,388,290,146241.1778,637,89.98575592,0.3946490924900222,2
12.2,77.2,3.331287671,24.1729863,310,423,260,147472.3309,827,89.99905396,0.3451206318996762,1
12.2,77.3,3.331287671,24.1729863,276,405,318,152063.4877,636,89.97748566,0.3666458160049824,2
12.2,77.4,3.331287671,24.1729863,311,410,278,183941.5925,599,89.99288177,0.3631645601586029,2
12.2,77.5,3.331287671,24.1729863,310,423,260,153234.5012,391,89.998909,0.3951357756682838,2
12.2,77.6,3.331287671,24.1729863,310,423,260,211036.4587,282,89.99407959,0.3899668866665711,2
12.2,77.7,3.331287671,24.1729863,319,401,279,96174.44406,430,89.99823761,0.4126757276537096,3
12.2,77.8,3.331287671,24.1729863,313,389,299,92748.35374,395,89.99204254,0.41926352233822634,3
12.2,77.9,3.544876712,25.21605479,310,423,260,242941.3168,416,89.99726868,0.37229731047978165,2
12.2,78.0,3.544876712,25.21605479,310,423,260,95786.98283,735,89.99861908,0.38054159715182434,2
12.2,78.1,3.544876712,25.21605479,310,423,260,155590.4889,475,89.97748566,0.3927196948601032,2
12.2,78.2,3.544876712,25.21605479,310,423,260,298271.2951,438,89.98937988,0.35233846124410473,1
12.2,78.3,3.544876712,25.21605479,310,423,260,266399.8832,420,89.98575592,0.36448207393399545,2
12.2,78.4,3.544876712,25.21605479,310,423,260,217221.6498,392,89.98575592,0.3832374130382318,2
12.3,75.0,10.67827397,26.88180822,310,423,260,79537.41792,0,0.0,0.8992469782888775,3
