Latitude,Longitude,region,river_distance
12,75,train,172219.6054
12,75.1,train,49803.90872
12,75.2,train,76298.61951
12,75.3,train,196762.6162
12,75.4,train,183104.4077
12,75.5,train,95017.95896
12,75.6,train,35900.10114
12,75.7,train,39882.75316
12,75.8,train,61451.07652
12,75.9,train,60410.05981
12,76,train,15287.21856
12,76.1,train,38401.86323
12,76.2,train,33045.28739
12,76.3,train,66264.32069
12,76.4,train,82531.07187
12,76.5,train,81745.5162
12,76.6,train,123041.3121
12,76.7,train,62386.60475
12,76.8,train,121923.3247
12,76.9,train,178823.6943
12,77,train,136977.9507
12,77.1,train,128260.464
12,77.2,train,57110.50288
12,77.3,train,118777.1188
12,77.4,train,136032.1717
12,77.5,train,163919.3399
12,77.6,train,173107.6872
12,77.7,train,167521.4949
12,77.8,train,172506.7881
12,77.9,train,199490.1014
12,78,train,180030.2591
12,78.1,train,141505.1904
12,78.2,train,220634.2825
12,78.3,train,213682.07
12,78.4,train,211719.8454
12.1,75,train,167069.6717
12.1,75.1,train,55837.0172
12.1,75.2,train,25054.93925
12.1,75.3,train,25268.40013
12.1,75.4,train,101720.9337
12.1,75.5,train,119657.0907
12.1,75.6,train,88132.42135
12.1,75.7,train,53045.87092
12.1,75.8,train,16977.75498
12.1,75.9,train,27745.48242
12.1,76,train,33570.6727
12.1,76.1,train,36799.12345
12.1,76.2,train,59731.84448
12.1,76.3,train,77464.53483
12.1,76.4,train,153847.5258
12.1,76.5,train,159221.5993
12.1,76.6,train,39047.68227
12.1,76.7,train,89939.35131
12.1,76.8,train,123283.2671
12.1,76.9,train,145994.3575
12.1,77,train,99902.41832
12.1,77.1,train,156044.5706
12.1,77.2,train,121601.9179
12.1,77.3,train,144565.2145
12.1,77.4,train,165490.6021
12.1,77.5,train,161769.7664
12.1,77.6,train,160186.1659
12.1,77.7,train,82293.39756
12.1,77.8,train,209132.1623
12.1,77.9,train,135612.2815
12.1,78,train,236112.3547
12.1,78.1,train,223098.1014
12.1,78.2,train,222218.015
12.1,78.3,train,219843.5828
12.1,78.4,train,50976.51025
12.2,75,train,109989.7796
12.2,75.1,train,28183.88033
12.2,75.2,train,28221.07173
12.2,75.3,train,48418.92448
12.2,75.4,train,60624.70685
12.2,75.5,train,25373.96125
12.2,75.6,train,6628.036657
12.2,75.7,train,35724.05322
12.2,75.8,train,53829.91705
12.2,75.9,train,40094.52317
12.2,76,train,63657.56971
12.2,76.1,train,70045.65464
12.2,76.2,train,53482.50145
12.2,76.3,train,81355.2134
12.2,76.4,train,61772.67951
12.2,76.5,train,118418.6477
12.2,76.6,train,111066.0149
12.2,76.7,train,75752.07894
12.2,76.8,train,109131.7094
12.2,76.9,train,96662.14802
12.2,77,train,117096.2967
12.2,77.1,train,146241.1778
12.2,77.2,train,147472.3309
12.2,77.3,train,152063.4877
12.2,77.4,train,183941.5925
12.2,77.5,train,153234.5012
12.2,77.6,train,211036.4587
12.2,77.7,train,96174.44406
12.2,77.8,train,92748.35374
12.2,77.9,train,242941.3168
12.2,78,train,95786.98283
12.2,78.1,train,155590.4889
12.2,78.2,train,298271.2951
12.2,78.3,train,266399.8832
12.2,78.4,train,217221.6498
12.3,75,train,79537.41792
12.3,75.1,train,38373.85679
12.3,75.2,train,29643.38253
12.3,75.3,train,8537.491583
12.3,75.4,train,119397.536
12.3,75.5,train,33718.01135
12.3,75.6,train,53690.77402
12.3,75.7,train,61293.33577
12.3,75.8,train,69389.62721
12.3,75.9,train,57470.50896
12.3,76,train,77834.60085
12.3,76.1,train,62661.4989
12.3,76.2,train,235219.2848
12.3,76.3,train,153345.9491
12.3,76.4,train,112920.7545
12.3,76.5,train,103336.8839
12.3,76.6,train,74681.91371
12.3,76.7,train,115891.1931
12.3,76.8,train,46537.18157
12.3,76.9,train,145382.7561
12.3,77,train,168958.6023
12.3,77.1,train,117593.146
12.3,77.2,train,85861.43076
12.3,77.3,train,177025.5377
12.3,77.4,train,72421.12294
12.3,77.5,train,176069.0916
12.3,77.6,train,187918.748
12.3,77.7,train,73094.72512
12.3,77.8,train,226629.4917
12.3,77.9,train,186974.6115
12.3,78,train,91708.76382
12.3,78.1,train,251760.3452
12.3,78.2,train,216361.7697
12.3,78.3,train,260197.5873
12.3,78.4,train,117817.8837
12.4,75,train,24405.15017
12.4,75.1,train,55491.82988
12.4,75.2,train,135924.0103
12.4,75.3,train,166812.1959
12.4,75.4,train,219135.5852
12.4,75.5,train,62056.49773
12.4,75.6,train,87054.88795
12.4,75.7,train,55220.44777
12.4,75.8,train,207803.3726
12.4,75.9,train,216619.0523
12.4,76,train,61106.64603
12.4,76.1,train,70420.91422
12.4,76.2,train,75564.9568
12.4,76.3,train,71168.29517
12.4,76.4,train,157673.3087
12.4,76.5,train,187386.7757
12.4,76.6,train,104134.2671
12.4,76.7,train,131297.8626
12.4,76.8,train,120169.0252
12.4,76.9,train,118945.6191
12.4,77,train,121682.878
12.4,77.1,train,57633.32628
12.4,77.2,train,199427.1778
12.4,77.3,train,118315.8303
12.4,77.4,train,176281.6275
12.4,77.5,train,197098.387
12.4,77.6,train,198717.8058
12.4,77.7,train,116176.606
12.4,77.8,train,267307.7238
12.4,77.9,train,30492.83706
12.4,78,train,143248.0282
12.4,78.1,train,216234.3178
12.4,78.2,train,286662.0918
12.4,78.3,train,241796.7616
12.4,78.4,train,112071.7562
12.5,75,train,59497.2272
12.5,75.1,train,119906.8381
12.5,75.2,train,169539.3
12.5,75.3,train,95932.8771
12.5,75.4,train,78459.03217
12.5,75.5,train,46250.76003
12.5,75.6,train,113107.3217
12.5,75.7,train,56909.92666
12.5,75.8,train,43319.45497
12.5,75.9,train,88273.39982
12.5,76,train,123226.6779
12.5,76.1,train,81421.42801
12.5,76.2,train,97163.70382
12.5,76.3,train,77692.75923
12.5,76.4,train,112369.4056
12.5,76.5,train,114678.7264
12.5,76.6,train,101007.0519
12.5,76.7,train,120012.7776
12.5,76.8,train,35774.60642
12.5,76.9,train,161450.2293
12.5,77,train,139804.313
12.5,77.1,train,59261.59324
12.5,77.2,train,142074.4666
12.5,77.3,train,58621.07742
12.5,77.4,train,192457.5537
12.5,77.5,train,172397.8399
12.5,77.6,train,193517.0553
12.5,77.7,train,190309.4714
12.5,77.8,train,194928.3872
12.5,77.9,train,109303.5927
12.5,78,train,251240.5417
12.5,78.1,train,63437.9006
12.5,78.2,train,98652.53603
12.5,78.3,train,104138.4549
12.5,78.4,train,111468.9128
12.6,75,train,67710.65917
12.6,75.1,train,234246.4676
12.6,75.2,train,49962.64472
12.6,75.3,train,99066.70546
12.6,75.4,train,20911.23118
12.6,75.5,train,66651.62795
12.6,75.6,train,41071.1445
12.6,75.7,train,62134.20574
12.6,75.8,train,103258.906
12.6,75.9,train,63828.72865
12.6,76,train,117829.7244
12.6,76.1,train,110288.5416
